prior=0.7	Taylor Swift
prior=0.6999363	Ed Sheeran
prior=0.6970439	周杰伦
prior=0.6954829	田馥甄
prior=0.6810916	The Chainsmokers and Coldplay
prior=0.6804364	薛之谦
prior=0.6759039	Luis Fonsi and Daddy Yankee
prior=0.6744612	Olly Murs
prior=0.669676	Charlie Puth
prior=0.6663895	The Chainsmokers
prior=0.6663895	Chainsmokers
prior=0.6652604	林俊杰
prior=0.6641691	袁娅维
prior=0.6634558	Camila Cabello
prior=0.6594714	李荣浩
prior=0.6583794	ZAYN and Taylor Swift
prior=0.6562787	Maroon 5
prior=0.6547919	赵雷
prior=0.6543845	JC
prior=0.6528095	五月天
prior=0.6506591	Alan Walker
prior=0.649705	Wiz Khalifa
prior=0.6492598	朴灿烈 and Punch
prior=0.6482133	李宗盛
prior=0.6455848	李玉刚
prior=0.6443206	陈奕迅
prior=0.6420778	Adele
prior=0.6414492	Ariana Grande
prior=0.6409529	Calvin Harris
prior=0.6383531	邓紫棋
prior=0.6377945	林宥嘉
prior=0.6338031	莫文蔚
prior=0.633171	贾斯汀·比伯
prior=0.6315813	防弹少年团
prior=0.6312285	刘若英
prior=0.6305229	Zedd and Alessia Cara
prior=0.6296913	THE CARTERS
prior=0.6296913	CARTERS
prior=0.6288765	Martin Garrix and Troye Sivan
prior=0.6287099	Mark Ronson
prior=0.628635	蔡健雅
prior=0.6285398	Maren Morris and Grey
prior=0.6285398	Zedd
prior=0.6279602	胡66
prior=0.6279301	Dua Lipa
prior=0.6274261	Bruno Mars
prior=0.6269921	王菲
prior=0.6267338	The Weeknd
prior=0.6267338	Weeknd
prior=0.6266008	Selena Gomez and Marshmello
prior=0.6254374	Justin Timberlake
prior=0.6241564	Clean Bandit
prior=0.6232303	Troye Sivan
prior=0.6218436	朴树
prior=0.6213704	孙燕姿
prior=0.6209	Shawn Mendes
prior=0.6206634	岑宁儿
prior=0.6204926	李健
prior=0.6188532	宋冬野
prior=0.6168008	陈奕迅 and 王菲
prior=0.6162723	Coldplay
prior=0.6161148	John Legend
prior=0.6156094	徐佳莹
prior=0.6152545	张学友
prior=0.6141275	Lady Gaga
prior=0.6134814	Tez Cadey
prior=0.6130572	DJ Snake
prior=0.6115788	EXO
prior=0.6114703	Sia
prior=0.611457	周笔畅
prior=0.6113562	Major Lazer
prior=0.6110818	Fifth Harmony
prior=0.6103118	大壮
prior=0.6102355	张惠妹
prior=0.6098743	太妍
prior=0.6092464	Beyond
prior=0.6088026	Ellie Goulding
prior=0.6085702	Martin Garrix
prior=0.6084204	DJ Khaled
prior=0.60837	Jonas Blue
prior=0.6073788	Imagine Dragons
prior=0.6071646	Selena Gomez
prior=0.6068811	校长
prior=0.6068622	Lukas Graham
prior=0.6067453	Crush
prior=0.6066935	Kygo and Imagine Dragons
prior=0.6063771	Kygo and Selena Gomez
prior=0.6061566	Jason Mraz
prior=0.6060502	梁静茹
prior=0.6059319	Anne-Marie
prior=0.6058969	Harry Styles
prior=0.6046257	吴亦凡
prior=0.6046194	Marshmello and Anne Marie
prior=0.6042351	Rihanna
prior=0.6042162	G Eazy and Kehlani
prior=0.6040804	卢冠廷
prior=0.6040083	贾斯汀 比伯 and BloodPop®
prior=0.6030374	OneRepublic
prior=0.6027308	许巍
prior=0.6022261	David Guetta
prior=0.6020273	Noah Cyrus and Digital Farm Animals
prior=0.6013203	Passenger
prior=0.6007568	林俊杰 and 邓紫棋
prior=0.6005923	ZAYN
prior=0.6005202	MC HotDog
prior=0.6005062	David Guetta and Sia
prior=0.5998265	陈势安
prior=0.5994373	Ryan Gosling and 艾玛 斯通
prior=0.5991552	张震岳
prior=0.5991538	Eminem
