prior=0.7	BLACKPINK
prior=0.6963754	麥浚龍 and 謝安琪
prior=0.6948851	周杰倫
prior=0.6928397	Ed Sheeran
prior=0.692713	田馥甄
prior=0.6877325	Chainsmokers and Coldplay
prior=0.6877325	The Chainsmokers and Coldplay
prior=0.6874434	The Chainsmokers
prior=0.6874434	Chainsmokers
prior=0.687169	Charlie Puth
prior=0.6828549	JW
prior=0.680946	ToNick
prior=0.680533	周杰倫 and 張惠妹
prior=0.6804315	Dear Jane
prior=0.6791617	陳奕迅
prior=0.6750394	林奕匡
prior=0.674499	薛之謙
prior=0.6720532	吳業坤
prior=0.6708954	林俊傑
prior=0.6704796	JC
prior=0.6701982	Maroon 5
prior=0.668717	五月天
prior=0.6659597	周興哲
prior=0.6653507	Camila Cabello
prior=0.66423	麥浚龍
prior=0.6639647	Alan Walker
prior=0.6624877	Wiz Khalifa
prior=0.661808	Taylor Swift
prior=0.6617065	方皓玟
prior=0.6607657	Luis Fonsi and Daddy Yankee
prior=0.6600531	Supper Moment
prior=0.6597962	周杰倫 and 梁心頤
prior=0.6597115	Justin Bieber
prior=0.6578166	陳柏宇
prior=0.6572125	于文文
prior=0.6562479	Bruno Mars
prior=0.654045	CHANYEOL and Punch
prior=0.6535795	TWICE
prior=0.6532554	Alan Walker Noah Cyrus and Digital Farm Animals
prior=0.6507487	張敬軒
prior=0.6482427	BTS
prior=0.6475833	謝安琪
prior=0.647409	Zedd and Alessia Cara
prior=0.6462295	Gin Lee
prior=0.6457276	BIGBANG
prior=0.6456695	容祖兒
prior=0.6444795	ZAYN and Taylor Swift
prior=0.6433756	Adele
prior=0.6433196	Mark Ronson
prior=0.6430228	Ellie Goulding
prior=0.6428975	DJ Snake
prior=0.6425363	鄭欣宜
prior=0.6421646	Ariana Grande
prior=0.6419098	衛蘭
prior=0.6417712	Calvin Harris
prior=0.6408409	周柏豪
prior=0.6406176	Selena Gomez and Marshmello
prior=0.6397853	Zedd Maren Morris and Grey
prior=0.6394367	Zac Efron and Zendaya
prior=0.6389257	Luis Fonsi
prior=0.6387955	Clean Bandit
prior=0.6373171	The Weeknd
prior=0.6373171	Weeknd
prior=0.6372464	鄧紫棋
prior=0.6369153	AGA
prior=0.6359885	TAEYEON
prior=0.6359689	Crush
prior=0.6358121	連詩雅
prior=0.6357904	Jason Mraz
prior=0.6353221	側田
prior=0.6339249	JW and 吳業坤
prior=0.6336876	Marshmello and Anne Marie
prior=0.6331969	胡鴻鈞
prior=0.6330632	A-Lin
prior=0.632751	Selena Gomez
prior=0.6320692	Shawn Mendes
prior=0.6313433	Dua Lipa
prior=0.6306419	陳小春
prior=0.6303115	IU
prior=0.6301386	C AllStar
prior=0.629846	Kygo and Selena Gomez
prior=0.6296675	G-DRAGON
prior=0.6295387	吳雨霏
prior=0.6287617	AGA and Gin Lee
prior=0.6286595	GFriend
prior=0.62776	Red Velvet
prior=0.627186	HANA菊梓喬
prior=0.6269886	John Legend
prior=0.6269599	HANA菊梓喬 and 王浩信
prior=0.6267303	Major Lazer
prior=0.6267114	iKON
prior=0.6262627	林宥嘉
prior=0.6260366	Coldplay
prior=0.625198	MOMOLAND
prior=0.6251637	Passenger
prior=0.6250034	Lady Gaga
prior=0.6246499	Lukas Graham
prior=0.6244952	여자 아이들
prior=0.6244952	아이들
prior=0.6244441	SUNMI
prior=0.6238995	Fifth Harmony
prior=0.6237077	Keala Settle and The Greatest Showman Ensemble
prior=0.6235831	麥浚龍 and 莫文蔚
prior=0.623518	蘇打綠
prior=0.6227732	twenty one pilots
prior=0.6223028	莫文蔚
prior=0.6222363	ZAYN
prior=0.622181	Calvin Harris Dua Lipa
prior=0.6214474	陳芳語
prior=0.6206011	TAEYANG
prior=0.6202546	徐佳瑩
prior=0.619969	Ryan Gosling and Emma Stone
prior=0.6199627	楊千嬅
prior=0.6197877	Yoonmirae
prior=0.6195252	曲婉婷
prior=0.619444	胡夏
prior=0.619367	Justin Timberlake
prior=0.6188	汪蘇瀧
prior=0.6187517	李榮浩
prior=0.6183863	古巨基
prior=0.6179642	Sia
prior=0.6177451	鄭中基
prior=0.6176702	Wanna One
prior=0.6174518	Adam Levine
prior=0.6174245	吳若希
prior=0.6174063	劉浩龍
prior=0.6170087	Martin Garrix and Dua Lipa
prior=0.6164438	CHEN and Punch
prior=0.6160112	Anne-Marie
prior=0.615902	林俊傑 and 鄧紫棋
prior=0.6153126	Martin Garrix and Bebe Rexha
prior=0.6147253	G Eazy and Kehlani
prior=0.6145034	孫燕姿
prior=0.6143774	WINNER
prior=0.6136305	Imagine Dragons
prior=0.6135087	Soyou
prior=0.6128913	岑寧兒
prior=0.6127877	黃明志
prior=0.612584	Martin Garrix and Troye Sivan
prior=0.6124272	黃淑蔓 and 英仁合唱團
prior=0.6116544	Hugh Jackman Keala Settle Zac Efron Zendaya and The Greatest Showman Ensemble
prior=0.6114808	OneRepublic
prior=0.6110867	王菲
prior=0.6109803	Ziv Zaifman Hugh Jackman and Michelle Williams
prior=0.6109166	James Arthur
prior=0.6106723	EXID
prior=0.6106268	David Guetta
