prior=0.7	Ed Sheeran
prior=0.6920067	BLACKPINK
prior=0.6905255	Chainsmokers and Coldplay
prior=0.6905255	The Chainsmokers and Coldplay
prior=0.6884724	于文文
prior=0.6866384	盧廣仲
prior=0.6859321	張惠妹
prior=0.6857459	陳奕迅
prior=0.6855912	The Chainsmokers
prior=0.6855912	Chainsmokers
prior=0.6854533	林俊傑
prior=0.683641	黃明志
prior=0.6810258	鄧紫棋
prior=0.6770169	徐佳瑩
prior=0.6768503	周杰倫
prior=0.6760845	李玉剛
prior=0.671447	家家
prior=0.6710984	Charlie Puth
prior=0.6701898	Camila Cabello
prior=0.6700652	Maroon 5
prior=0.6681038	Zedd Maren Morris and Grey
prior=0.6661144	薛之謙
prior=0.6650182	防彈少年團
prior=0.6646885	朴燦烈 and Punch
prior=0.6637792	Ariana Grande
prior=0.6634887	周興哲
prior=0.662907	Clean Bandit
prior=0.6623939	JC
prior=0.6621209	莫文蔚
prior=0.661983	李千娜
prior=0.661157	Zedd and Alessia Cara
prior=0.6600146	茄子蛋
prior=0.6599999	小賈斯汀
prior=0.6595911	Luis Fonsi
prior=0.6580056	謝和弦
prior=0.6574841	Selena Gomez
prior=0.6571852	Anne-Marie
prior=0.6569465	Calvin Harris
prior=0.6555675	Calvin Harris Dua Lipa
prior=0.6543768	Alan Walker
prior=0.6542249	周湯豪
prior=0.653961	Marshmello and Anne Marie
prior=0.6524826	DJ Snake
prior=0.6524658	Jonas Blue
prior=0.6521634	Selena Gomez and Marshmello
prior=0.6521284	TWICE
prior=0.649453	五月天
prior=0.6492829	Dua Lipa
prior=0.6489056	Alan Walker Noah Cyrus and Digital Farm Animals
prior=0.6488804	蕭敬騰
prior=0.6488153	頑童MJ116
prior=0.6487719	Taylor Swift
prior=0.6480257	岑寧兒
prior=0.6478437	Bruno Mars
prior=0.6473054	田馥甄
prior=0.6462974	彭佳慧
prior=0.6462932	楊丞琳
prior=0.6460643	太妍
prior=0.6457549	Shawn Mendes
prior=0.6454651	艾怡良
prior=0.6450087	Luis Fonsi and Daddy Yankee
prior=0.6448043	林俊傑 and 鄧紫棋
prior=0.6442296	ZAYN and Taylor Swift
prior=0.6436955	Martin Garrix
prior=0.6436577	Crush
prior=0.6426707	Justin Timberlake
prior=0.6424782	李榮浩
prior=0.6422199	IU
prior=0.6418272	iKON
prior=0.6414905	Martin Garrix and Troye Sivan
prior=0.6414639	兄弟本色
prior=0.6413092	Fifth Harmony
prior=0.6410019	大壯
prior=0.6393891	蘇打綠
prior=0.6390706	Kygo and Imagine Dragons
prior=0.6384973	David Guetta and Sia
prior=0.6381837	陳奕迅 and 王菲
prior=0.6379975	Martin Garrix and Bebe Rexha
prior=0.6368572	NOTD
prior=0.636482	孫燕姿
prior=0.636048	Jess Glynne
prior=0.6351891	여자 아이들
prior=0.6351891	아이들
prior=0.6348867	ZAYN
prior=0.6345808	The Weeknd
prior=0.6345808	Weeknd
prior=0.6342609	小宇 宋念宇
prior=0.633801	Troye Sivan
prior=0.6336666	Red Velvet
prior=0.633626	異鄉人
prior=0.6327762	Coldplay
prior=0.6326978	Hailee Steinfeld and Alesso
prior=0.6324262	Martin Garrix and Dua Lipa
prior=0.631995	Lukas Graham
prior=0.6319292	魏如萱
prior=0.6317017	Mark Ronson
prior=0.6315757	G Eazy and Kehlani
prior=0.6314084	吳青峰
prior=0.6311669	Major Lazer
prior=0.6310157	李毓芬
prior=0.6304291	J Sheon
prior=0.6300644	Wiz Khalifa
prior=0.629741	Kygo and Selena Gomez
prior=0.6294582	Rudimental
prior=0.6292426	Liam Payne and Rita Ora
prior=0.6291201	Adele
prior=0.6286903	G-DRAGON
prior=0.6285055	Mike Perry
prior=0.6272637	賴慈泓
prior=0.6271293	Martin Garrix and David Guetta
prior=0.6265917	Sia
prior=0.6265581	Keala Settle and The Greatest Showman Ensemble
prior=0.6264937	陳勢安
prior=0.626444	Jason Mraz
prior=0.6260366	John Legend
prior=0.6259624	Avicii
prior=0.6255186	Ellie Goulding
prior=0.6253835	尹美萊
prior=0.6250916	James Arthur
prior=0.6239758	MOMOLAND
prior=0.6238015	Sigala and Paloma Faith
prior=0.6231463	吳克群
prior=0.623056	Years and Years
prior=0.623049	Bebe Rexha and Florida Georgia Line
prior=0.622979	SHINee
prior=0.6224974	SUNMI
prior=0.6219115	Lady Gaga
prior=0.6218016	Dennis Lloyd
prior=0.6211772	孫盛希
prior=0.6210099	Wanna One
prior=0.6206788	林宥嘉
prior=0.6206389	THE CARTERS
prior=0.6206389	CARTERS
prior=0.6205115	WINNER
prior=0.6201132	Rita Ora
prior=0.619003979301	BIGBANG
prior=0.6184269	5 Seconds of Summer
prior=0.6178921	吳汶芳
prior=0.6177367	玖壹壹
prior=0.6172019	陳珊妮
prior=0.617152062508	蔡依林
prior=0.6165551	Khalid and Normani
prior=0.6161099	小賈斯汀 and BloodPop®
prior=0.6160021	楊宗緯
prior=0.615755	David Guetta
prior=0.6152454	Cheat Codes
prior=0.6145412	BTOB
prior=0.6145006	Shakira
prior=0.6142374	Loud Luxury
prior=0.613753	柴克艾弗 and Zendaya
prior=0.6137166	Pink
prior=0.6136697	A-Lin
prior=0.6133085	熊仔 and 吳卓源
prior=0.612598	丁世光
prior=0.6118791	林芯儀
prior=0.6118175	陳星翰
prior=0.6115571	林憶蓮
prior=0.6109887	葛仲珊
prior=0.6109194	MNEK
prior=0.6108802	Adam Levine
prior=0.6107885	DJ Khaled
prior=0.6106828	King Princess
prior=0.6106744	LINKIN PARK
prior=0.6105085	Rihanna
prior=0.610169	袁婭維
prior=0.6101676	CHEN and Punch
prior=0.6100612	Soyou
prior=0.6096811	蕭秉治
prior=0.609679	蔡健雅
prior=0.6094655	王詩安
prior=0.6092464	K Will
prior=0.6090896	方大同
prior=0.6090105	李佳薇
prior=0.6085345	陳芳語
prior=0.6081061	VAVA
prior=0.6079297	Passenger
prior=0.6077757	BOL4
prior=0.6077421	Bebe Rexha
prior=0.6073487	閻奕格
prior=0.6073179	滅火器
prior=0.6072927	Liam Payne
prior=0.6069588	EXO
prior=0.6064996	鄭茵聲
prior=0.606347	Alessia Cara
prior=0.6059613	GFriend
prior=0.6058276	米津玄師
prior=0.6057737	蘇打綠 and 陳嘉樺
prior=0.6055903	李權哲
prior=0.6054678	Katy Perry
prior=0.60522	梁靜茹
prior=0.6046383	DAOKO×米津玄師
prior=0.6044899	Pharrell Williams
prior=0.6044598	Cardi B Bad Bunny and J Balvin
prior=0.6037766	OneRepublic
prior=0.6037577	草東沒有派對
prior=0.6035099	SEVENTEEN
prior=0.6034672	陳綺貞
prior=0.6034595	謝震廷
prior=0.6032628	蕭煌奇
prior=0.6032586	Jax Jones and Mabel
prior=0.6029534	Sam Smith
prior=0.6027119	Hailee Steinfeld and Grey
prior=0.6026384	鞠文嫻
prior=0.602448	twenty one pilots
prior=0.6024242	吳亦凡
prior=0.6020126	CHEN Baekhyun and XIUMIN
prior=0.6015023	Sigrid
prior=0.6012139	Jessie J
prior=0.6008751	Major Lazer and DJ Snake
prior=0.6005426	Loren Allred
prior=0.600404	Ailee
prior=0.599956	朴樹
prior=0.599879	M 22
prior=0.5998265	Ruel
prior=0.5996102	AOA
prior=0.5993547	Harry Styles
prior=0.5991874	宇宙人
prior=0.5990936	Imagine Dragons
prior=0.599081	Jessie J Ariana Grande and Nicki Minaj
prior=0.5988227	Zara Larsson
prior=0.5988052	李玖哲
prior=0.5987254	方泂鑌
prior=0.5984097	Mike Posner
prior=0.5982382	曲婉婷
prior=0.5979078	Davichi
prior=0.597807	金鐘鉉
prior=0.5977685	LSD
