Sik-K	GS.EI1.S.IH5.GS.AI1.K.EI4.K.EI4.Y.I2
呂士軒	LYU.YU3.SH.IH4.XU.AN1
陳予新	CH.EN2.YU.YU3.XI.IN1
Max Richter	M.EI2.S.IH5.RU.EI4.T.ER3
Joe Satriani	ZH.OU4.S.A3.CHU.U3.Y.I3.GS.AN1.NI.I3
葉啟田	Y.IE4.QI.I3.TI.AN2
Olivia Foa'i	GS.ER3.LI.I4.LI.I3.Y.A3.F.OU1.Y.I3
Mary Wells	MI.IE1.R.I3.W.EI4.W.U3.S.T
黃綺珊	HU.AG2.QI.I3.SH.AN1
Brandi Carlile	P.L.EI1.M.DI.I3.K.A1.L.AI2.GS.OU3
Joyner Lucas	JI.OU4.GS.AI4.N.ER3.LI.OU2.K.E3.S.IH5
Swedish House Mafia	SU.U1.Y.I1.DI.I5.XU.YU5.H.AO4.S.IH5.M.A1.F.I3.Y.A3
Vast & Hazy	LI.IE4.S.IH5.T.H.EI1.XI.I3
Kidswaste	K.IE4.Z.IH5.W.EI4.S.IH5.T.E5
god	G.A4.D.ER3
Dire Straits	D.AI1.GS.ER3.S.ZHU.EI4.C.IH5
JUNIEL	JI.OU1.NI.IE4.M.O1
Five for Fighting	F.A1.Y.I4.P.W.O4.GS.ER3.F.AN1.Y.I1.TI.IN3
Blonde Redhead	B.AG1.L.AG4.D.E5.RU.A4.XI.IE3.PI.IE4.T
slenderbodies	S.IH5.L.EI1.N.D.ER5.B.A1.DI.I3.S
陳建瑋	CH.EN2.JI.AN4.W.EI3
Foals	F.O4.GS.OU3.S
Akon	GS.EI1.KU.OG3
Vice	W.AI4.XI.I3
Mac DeMarco	MI.IE4.K.E5.DI.I3.M.A1.K.OU3
Eve	Y.I1.F.U5
Berhana	B.ER5.H.A1.N.A3
歐陽菲菲	GS.OU1.Y.AG2.F.EI1.F.EI1
Ben Folds	BI.AN1.F.OU3.S.IH5
Shepard Audio	XU.IE2.P.ER3.R.I5.GS.OU1.LI.I3.GS.OU3
CHiCO with HoneyWorks	QI.I3.K.OU3.W.I3.S.H.AO3.NI.I4.W.O4.K.E5.S.IH5
LANY	GS.A1.L.OU5.GS.EI4.W.AI4
萬妮達	W.AN4.NI.I2.D.A2
Beach Fossils	BI.I4.QU.YU3.F.A1.S.OU3.S
Sade	SH.A1.D.EI3
