test_id,ref_utterance,ref_utterance_artist,script,type,expected_name,expected_id,asr_pass,e2e_asr_pass,e2e_ref_pass
309294,嘿Siri播放GOT7的歌,GOT7,,,GOT7,802694659,True,True,True
308682,嘿Siri播放Sarah McLachlan的歌,Sarah McLachlan,,,Sarah McLachlan,111192,True,True,True
309359,嘿Siri播放雪瑞兒可洛的歌,雪瑞兒可洛,,,Sheryl Crow,58757,True,True,True
310280,嘿Siri播放The Beach Boys的歌,The Beach Boys,,,The Beach Boys,562555,True,True,True
309343,嘿Siri播放李克勤的歌,李克勤,,,李克勤,368904535,True,False,False
308707,嘿Siri播放朴燦烈的歌,朴燦烈,,,朴燦烈,935192676,True,True,True
310296,嘿Siri播放張敬軒的歌,張敬軒,,,張敬軒,647198652,True,True,True
309825,嘿Siri播放歡樂合唱團的歌,歡樂合唱團,,,Glee Cast,315816847,True,False,False
309292,嘿Siri播放Skylar Grey的歌,Skylar Grey,,,Skylar Grey,403746928,True,True,True
309949,嘿Siri播放土岐麻子的歌,土岐麻子,,,土岐麻子,73378108,True,True,True
308760,嘿Siri播放Idina Menzel的歌,Idina Menzel,,,Idina Menzel,3297504,True,True,True
308802,嘿Siri播放John Newman的歌,John Newman,,,John Newman,649230577,True,True,True
309044,嘿Siri播放陶喆的歌,陶喆,,,陶喆,16789930,True,True,True
309694,嘿Siri播放 天命真女 的歌,Destiny's Child,,,Destiny's Child,634287,True,True,True
310227,嘿Siri播放Yann Tiersen的歌,Yann Tiersen,,,Yann Tiersen,16401316,True,True,True
308861,嘿Siri播放小賈斯汀的歌,小賈斯汀,,,小賈斯汀,320569549,True,False,False
309492,嘿Siri播放國際首席愛樂樂團的歌,國際首席愛樂樂團,,,國際首席愛樂樂團,1207744080,True,True,True
309806,嘿Siri播放Music Together的歌,Music Together,,,Music Together,267555327,True,True,True
308410,嘿Siri播放Foster the People的歌,Foster the People,,,Foster the People,414023649,True,True,True
310292,嘿Siri播放OneRepublic的歌,OneRepublic,,,OneRepublic,260414340,True,True,True
309565,嘿Siri播放Kisum的歌,Kisum,,,키썸,878969509,True,False,False
309104,嘿Siri播放Oasis的歌,Oasis,,,Oasis,512633,True,True,True
309725,嘿Siri播放倫敦愛樂樂團的歌,倫敦愛樂樂團,,,倫敦愛樂樂團,498052,True,True,True
308765,嘿Siri播放香香的歌,香香,,,香香,955401779,True,True,True
309957,嘿Siri播放The Cardigans的歌,The Cardigans,,,The Cardigans,259828,True,True,True
309042,嘿Siri播放龍飄飄的歌,龍飄飄,,,龍飄飄,777512063,True,True,True
308614,嘿Siri播放陳粒的歌,陳粒,,,陳粒,1138469250,True,True,True
309329,嘿Siri播放邱勝翊的歌,邱勝翊,,,邱勝翊,462254016,True,True,True
309754,嘿Siri播放信樂團的歌,信樂團,,,信樂團,820255331,True,True,True
309242,嘿Siri播放JOY的歌,JOY,,,JOY,510902856,True,True,True
309549,嘿Siri播放Shania Twain的歌,Shania Twain,,,Shania Twain,129974,True,True,True
308822,嘿Siri播放聶琳的歌,聶琳,,,聶琳,510862505,True,True,True
309615,嘿Siri播放Michael Giacchino的歌,Michael Giacchino,,,Michael Giacchino,27462369,True,True,True
309209,嘿Siri播放蘇志燮的歌,蘇志燮,,,蘇志燮,512158850,True,True,True
308836,嘿Siri播放Super Simple Songs的歌,Super Simple Songs,,,Super Simple Songs,1220065281,True,True,True
306623,嘿Siri播放MK的歌,MK,,,MK,63097617,True,True,True
308379,嘿Siri播放莊心妍的歌,莊心妍,,,莊心妍,928329959,True,True,True
309528,嘿Siri播放Becky G的歌,Becky G,,,Becky G,550411604,True,True,True
309772,嘿Siri播放David Garrett的歌,David Garrett,,,David Garrett,4698889,True,True,True
310281,嘿Siri播放韓紅的歌,韓紅,,,韓紅,217321239,True,True,True
309992,嘿Siri播放Fall Out Boy的歌,Fall Out Boy,,,Fall Out Boy,28673423,True,True,True
308384,嘿Siri播放劉德華的歌,劉德華,,,劉德華,19345683,True,True,True
310309,嘿Siri播放朱宗慶打擊樂團的歌,朱宗慶打擊樂團,,,朱宗慶打擊樂團,641045469,True,True,True
310077,嘿Siri播放Glass Animals的歌,Glass Animals,,,Glass Animals,528928008,True,True,True
309276,嘿Siri播放will.i.am的歌,will.i.am,,,will.i.am,3495273,True,True,True
308942,嘿Siri播放郁可唯的歌,郁可唯,,,郁可唯,369227516,True,True,True
308445,嘿Siri播放Diplo的歌,Diplo,,,Diplo,4527097,True,False,False
309022,嘿Siri播放Feist的歌,Feist,,,Feist,13453308,True,True,True
310215,嘿Siri播放Arlissa的歌,Arlissa,,,Arlissa,553435139,True,True,True
309662,嘿Siri播放鳳凰傳奇的歌,鳳凰傳奇,,,鳳凰傳奇,478745331,True,True,True
309883,嘿Siri播放Wayne Gratz的歌,Wayne Gratz,,,Wayne Gratz,16458481,True,True,True
310108,嘿Siri播放Robyn的歌,Robyn,,,Robyn,535211,True,True,True
309138,嘿Siri播放DJ Snake的歌,DJ Snake,,,DJ Snake,125742557,True,True,True
309450,嘿Siri播放辛曉琪的歌,辛曉琪,,,辛曉琪,152417217,True,True,True
308382,嘿Siri播放蛋堡的歌,蛋堡,,,蛋堡,403689551,True,True,True
308546,嘿Siri播放Alessia Cara的歌,Alessia Cara,,,Alessia Cara,991444375,True,True,True
308569,嘿Siri播放游鴻明的歌,游鴻明,,,游鴻明,158190532,True,True,True
308363,嘿Siri播放韋禮安的歌,韋禮安,,,韋禮安,441921723,True,True,True
309264,嘿Siri播放黎明的歌,黎明,,,黎明,41756143,True,True,True
309993,嘿Siri播放金范秀的歌,金范秀,,,金范秀,549055025,True,True,True
310023,嘿Siri播放蔣卓嘉的歌,蔣卓嘉,,,蔣卓嘉,741988446,True,True,True
308462,嘿Siri播放The Big 鋼琴的歌,The Big 鋼琴,,,The Big 鋼琴,621756366,True,True,True
309674,嘿Siri播放甄妮的歌,甄妮,,,甄妮,320005684,True,True,True
308607,嘿Siri播放周傳雄的歌,周傳雄,,,周傳雄,41867774,True,True,True
310235,嘿Siri播放胡立歐的歌,胡立歐,,,胡立歐,540287,True,True,True
309982,嘿Siri播放Omi的歌,Omi,,,Omi,960750491,True,True,True
308867,嘿Siri播放A Great Big World的歌,A Great Big World,,,A Great Big World,569333045,True,True,True
309688,嘿Siri播放劉惜君的歌,劉惜君,,,劉惜君,411430517,True,True,True
308797,嘿Siri播放Kim Na Young的歌,Kim Na Young,,,Kim Na Young,533032420,True,True,True
308731,嘿Siri播放Céline Dion的歌,Céline Dion,,,Céline Dion,63729,True,True,True
309870,嘿Siri播放孫子涵的歌,孫子涵,,,孫子涵,892276680,True,True,True
310165,嘿Siri播放Dua Lipa的歌,Dua Lipa,,,Dua Lipa,1031397873,True,True,True
310179,嘿Siri播放Lawson的歌,Lawson,,,Lawson,2627885,True,True,True
309693,嘿Siri播放安心亞的歌,安心亞,,,安心亞,875198478,True,True,True
